	index	score_df1	claim_name	ncbi_gene_id_df1	ncbi_gene_id_df2	score_df2	score_ratio	Category	Bipolar Linked Paper	Bipolar Linked?
143	2972	0.0006027213904	TRAT1	50852	50852	0.0001666762467	3.616120487			
151	3084	0.0006027213904	JUND	3727	3727	0.0001666762467	3.616120487			
160	2904	0.0006027213904	ITIH3	3699	3699	0.0001666762467	3.616120487			
158	3049	0.0006027213904	OXT	5020	5020	0.0001666762467	3.616120487			
116	1348	0.0008324644851	ARNT	405	405	0.0002309971905	3.603786191			
136	458	0.0006027213904	HLA-DRB3	3125	3125	0.0001675410643	3.597454707			
156	2643	0.0006027213904	TRAC	28755	28755	0.0001676768628	3.594541192			
47	282	0.001112806361	ALDH2	217	217	0.0003103805656	3.585296516			
148	2055	0.0006027213904	GFRA2	2675	2675	0.0001682422199	3.582462183			
137	981	0.0006027213904	HNMT	3176	3176	0.0001685526103	3.575865062			
162	3083	0.0006027213904	KCNJ3	3760	3760	0.0001686825371	3.573110773			
140	159	0.0006027213904	ELAVL2	1993	1993	0.0001687735542	3.571183846			
141	1770	0.0006027213904	HLA-DRB5	3127	3127	0.0001695952049	3.553882261			
154	2201	0.0006027213904	HLA-DPB1	3115	3115	0.0001697162307	3.551347965			
164	2962	0.0006027213904	DTNBP1	84062	84062	0.0001725422604	3.493181258			
170	2964	0.0005833386334	TRIB2	28951	28951	0.0001673251563	3.486257813			
175	1541	0.0005833386334	NTNG1	22854	22854	0.0001673251563	3.486257813			
165	2963	0.0005833386334	PSORS1C2	170680	170680	0.0001673251563	3.486257813			
174	2423	0.0005833386334	MYT1L	23040	23040	0.0001673251563	3.486257813			
172	2425	0.0005833386334	PKD2	5311	5311	0.0001673251563	3.486257813			
173	2967	0.0005833386334	TSHZ2	128553	128553	0.0001673251563	3.486257813			
176	1748	0.0005833386334	TBL1XR1	79718	79718	0.0001673251563	3.486257813			
166	2634	0.0005833386334	GREM2	64388	64388	0.0001673251563	3.486257813			
60	349	0.0009718160072	SCN7A	6332	6332	0.0002791819129	3.48094186			
55	620	0.0009718160072	SCN8A	6334	6334	0.0002795239457	3.476682488			
57	621	0.0009718160072	SCN3A	6328	6328	0.0002797294696	3.474128087			
63	399	0.0009718160072	SCN11A	11280	11280	0.0002797882734	3.473397921			
168	2966	0.0005833386334	NOTCH4	4855	4855	0.0001687353747	3.457121154			
48	371	0.001112806361	ALCAM	214	214	0.0003225306908	3.450234016			
59	494	0.0009718160072	SCN2A	6326	6326	0.0002823098282	3.442373981			
147	2754	0.0006027213904	NQO2	4835	4835	0.0001754789687	3.434721521			
132	1975	0.0006411055309	AQP4	361	361	0.000186782963	3.432355504			
64	436	0.0009718160072	SCN9A	6335	6335	0.0002844196881	3.416838031			
139	976	0.0006027213904	CYP2C18	1562	1562	0.0001769573435	3.406026438			
54	619	0.0009718160072	SCN4A	6329	6329	0.0002856719765	3.40185978			
153	1190	0.0006027213904	HRH4	59340	59340	0.0001777256262	3.391302669			
56	479	0.0009718160072	SCN1A	6323	6323	0.0002879355987	3.375115865			
91	122	0.0008980193607	CHRM1	1128	1128	0.0002664970828	3.369715537			
138	1768	0.0006027213904	C3	718	718	0.0001795668361	3.356529544			
70	1304	0.0009381379063	ABCF1	23	23	0.0002811676732	3.336578119			
39	536	0.001196856349	SCN5A	6331	6331	0.0003595845386	3.328442189			
134	1180	0.0006264460234	SST	6750	6750	0.0001888061976	3.317931462			
122	489	0.0007321161583	CYP2A6	1548	1548	0.0002207671152	3.316237374			
130	971	0.0006411055309	UGT2B15	7366	7366	0.0001944582779	3.296879607			
144	1540	0.0006027213904	GSTT1	2952	2952	0.0001837110413	3.280812009			
61	20	0.0009718160072	SCN10A	6336	6336	0.0002974855502	3.266767097			
161	342	0.0006027213904	GDNF	2668	2668	0.0001849967705	3.258010336			
185	4411	0.0005683702108	EHF	26298	26298	0.0001764001357	3.22205087			
181	4467	0.0005683702108	CNTN4	152330	152330	0.0001764001357	3.22205087			
183	4524	0.0005683702108	CDH4	1002	1002	0.0001764001357	3.22205087			
169	3096	0.0005833386334	AOX1	316	316	0.0001817717778	3.209181538			
179	564	0.0005683702108	CHRNA7	1139	1139	0.0001773628936	3.204560995			
52	293	0.001013075847	ABL1	25	25	0.0003168303675	3.197533922			
186	3503	0.0005683702108	NALCN	259232	259232	0.0001781871681	3.189737044			
177	1488	0.0005833386334	GCKR	2646	2646	0.0001849978436	3.153218557			
125	1071	0.0006879126728	HTR1B	3351	3351	0.0002181826388	3.152921226			
126	2000	0.0006776593315	ATP2B1	490	490	0.0002180405471	3.107950978			
66	338	0.0009381379063	ABCA4	24	24	0.0003035328712	3.090729194			
150	698	0.0006027213904	SRC	6714	6714	0.0001956395058	3.08077547			
68	402	0.0009381379063	ABCB7	22	22	0.0003071518104	3.054313452			
213	4766	0.0005029908771	MSANTD1	345222	345222	0.000166370938	3.023309738			
216	4767	0.0005029908771	PPA2	27068	27068	0.000166370938	3.023309738			
211	4674	0.0005029908771	AGAP1	116987	116987	0.000166370938	3.023309738			
205	4602	0.0005029908771	NPAS3	64067	64067	0.000166370938	3.023309738			
207	4117	0.0005029908771	TMEFF2	23671	23671	0.000166370938	3.023309738			
195	3805	0.0005059409975	SKOR2	652991	652991	0.000167521542	3.020154849			
193	3966	0.0005059409975	MCPH1	79648	79648	0.000167521542	3.020154849			
189	3731	0.0005059409975	MAML3	55534	55534	0.000167521542	3.020154849			
210	2245	0.0005029908771	GRM7	2917	2917	0.0001667036511	3.01727571			
206	2248	0.0005029908771	CCL2	6347	6347	0.0001674884578	3.003137551			
200	957	0.0005029908771	GRID2	2895	2895	0.0001675103604	3.002744881			
157	1899	0.0006027213904	NT5E	4907	4907	0.0002010853677	2.997340867			
171	2965	0.0005833386334	CFLAR	8837	8837	0.0001948821803	2.993288727			
96	100	0.0008636681811	ADRA1A	148	148	0.0002894953298	2.983357907			
209	674	0.0005029908771	GRM3	2913	2913	0.0001688387837	2.979119289			
217	594	0.0005029908771	LRP1B	53353	53353	0.0001688426807	2.979050528			
214	173	0.0005029908771	TNIK	23043	23043	0.0001694882002	2.967704397			
228	3332	0.0004982848374	MLN	4295	4295	0.0001682340571	2.961854727			
227	3312	0.0004982848374	BAG6	7917	7917	0.0001682340571	2.961854727			
223	3769	0.0004982848374	HSPA1L	3305	3305	0.0001682340571	2.961854727			
225	3720	0.0004982848374	AKR1B1P2	236	236	0.0001686269528	2.954953696			
235	1866	0.0004982848374	HSPA1A	3303	3303	0.0001687323544	2.953107832			
233	1837	0.0004982848374	LTA	4049	4049	0.000169361261	2.942141753			
230	2603	0.0004982848374	MICA	100507436	100507436	0.0001695290108	2.939230489			
203	1018	0.0005029908771	TNFRSF11A	8792	8792	0.000171771797	2.928250655			
219	2228	0.0004982848374	PRRC2A	7916	7916	0.0001706422569	2.920055363			
215	2610	0.0005029908771	TJP1	7082	7082	0.0001724780764	2.916259779			
129	92	0.0006411055309	CACNA1H	8912	8912	0.0002226927108	2.878879729			
187	719	0.0005059409975	PRKCE	5581	5581	0.0001761943868	2.871493279			
180	798	0.0005683702108	LYN	4067	4067	0.0001989980165	2.856160181			
224	1004	0.0004982848374	PSORS1C1	170679	170679	0.0001749793618	2.847677761			
99	190	0.0008337013533	TNF	7124	7124	0.0002929095115	2.846276139			
234	2817	0.0004982848374	RALBP1	10928	10928	0.0001756971822	2.836043419			
155	842	0.0006027213904	GSTM1	2944	2944	0.0002140528729	2.815759407			
133	467	0.0006264460234	FAS	355	355	0.0002228447241	2.811132397			
255	4585	0.0004628723314	PTPRN2	5799	5799	0.0001661976453	2.785071537			
241	4325	0.0004628723314	SPOPL	339745	339745	0.0001661976453	2.785071537			
254	4584	0.0004628723314	PLAGL1	5325	5325	0.0001661976453	2.785071537			
127	113	0.0006776593315	ABL2	27	27	0.0002434913326	2.783094266			
257	2356	0.0004628723314	SLC26A9	115019	115019	0.0001665681814	2.778876058			
204	835	0.0005029908771	GHRL	51738	51738	0.0001816259082	2.769378456			
22	3	0.001537451333	RGS4	5999	5999	0.0005554588584	2.767894166			
238	1852	0.0004628723314	HTR1E	3354	3354	0.0001682072565	2.751797639			
243	3689	0.0004628723314	GIPR	2696	2696	0.0001682276189	2.75146456			
239	657	0.0004628723314	HTR6	3362	3362	0.0001685284658	2.746552812			
250	3252	0.0004628723314	CSMD1	64478	64478	0.0001689102505	2.740344829			
253	3310	0.0004628723314	FMO1	2326	2326	0.0001692509349	2.734828801			
236	4457	0.0004628723314	GSTM3	2947	2947	0.0001698720313	2.724829554			
123	1690	0.0007321161583	GGT1	2678	2678	0.0002689818568	2.721804983			
191	388	0.0005059409975	CDH13	1012	1012	0.0001859619951	2.720668797			
242	274	0.0004628723314	CHRM5	1133	1133	0.0001703516788	2.71715744			
256	182	0.0004628723314	CHRM4	1132	1132	0.0001711489448	2.704500061			
159	876	0.0006027213904	SLC6A3	6531	6531	0.000226191483	2.664651129			
247	1278	0.0004628723314	IL1A	3552	3552	0.0001740036112	2.660130604			
237	1082	0.0004628723314	DRD5	1816	1816	0.0001784406543	2.593984724			
208	2012	0.0005029908771	PSMD14	10213	10213	0.0001981689014	2.538192792			
260	243	0.0004628723314	FMO3	2328	2328	0.0001826845179	2.533725007			
218	925	0.0004982848374	HLA-A	3105	3105	0.0001975677605	2.522095893			
163	2462	0.0006027213904	AMELX	265	265	0.0002400631929	2.510678056			
252	23	0.0004628723314	ADRB3	155	155	0.0001853760502	2.496937069			
38	221	0.001197997643	BDNF	627	627	0.0004921846279	2.434041161			
298	4513	0.000401405682	OGDH	4967	4967	0.0001663336424	2.41325613			
284	2937	0.000401405682	POLG	5428	5428	0.0001670017001	2.403602369			
295	3801	0.000401405682	OTC	5009	5009	0.0001678987313	2.390760662			
261	941	0.0004628723314	TPMT	7172	7172	0.0001946592753	2.377859112			
202	1704	0.0005029908771	NTF3	4908	4908	0.0002115815399	2.377290936			
282	1510	0.000401405682	ALDH5A1	7915	7915	0.0001688929115	2.376687562			
246	1518	0.0004628723314	GNB3	2784	2784	0.0001948232249	2.375858072			
296	1864	0.000401405682	CPS1	1373	1373	0.0001695402717	2.367612592			
286	2091	0.000401405682	COL1A1	1277	1277	0.0001700630368	2.360334671			
264	931	0.0004628723314	SLC22A1	6580	6580	0.0001964377405	2.356330969			
325	2805	0.0003926147025	FAM177A1	283635	283635	0.0001685133845	2.329872513			
309	2952	0.0003926147025	MYO1H	283446	283446	0.0001685133845	2.329872513			
317	3183	0.0003926147025	GRAMD1B	57476	57476	0.0001685133845	2.329872513			
316	3865	0.0003926147025	LMO2	4005	4005	0.0001685133845	2.329872513			
308	330	0.0003926147025	FAM178B	51252	51252	0.0001685133845	2.329872513			
330	2188	0.0003926147025	GADL1	339896	339896	0.0001685133845	2.329872513			
321	3301	0.0003926147025	INPP1	3628	3628	0.0001685133845	2.329872513			
323	3186	0.0003926147025	OR52J2P	79529	79529	0.0001685133845	2.329872513			
314	2806	0.0003926147025	OR52E2	119678	119678	0.0001685133845	2.329872513			
307	1733	0.0003926147025	OR52J3	119679	119679	0.0001685133845	2.329872513			
312	1731	0.0003926147025	ADCY1	107	107	0.0001688469923	2.325269151			
275	2804	0.000401405682	LEPR	3953	3953	0.0001733673244	2.315347967			
294	2720	0.000401405682	BAP1	8314	8314	0.0001736439834	2.311659029			
315	2620	0.0003926147025	CRY1	1407	1407	0.0001700383766	2.308977011			
319	769	0.0003926147025	ADCY2	108	108	0.0001703107101	2.305284867			
274	2602	0.000401405682	MC2R	4158	4158	0.0001749948223	2.293814621			
297	1981	0.000401405682	APEH	327	327	0.000175116339	2.292222897			
221	1543	0.0004982848374	CYP2C8	1558	1558	0.0002180462521	2.285225416			
318	926	0.0003926147025	TPH1	7166	7166	0.0001718656711	2.284427716			
167	478	0.0005833386334	XDH	7498	7498	0.0002560691797	2.278050932			
276	1911	0.000401405682	ACADSB	36	36	0.0001764064033	2.275459817			
106	117	0.0008324644851	GABRE	2564	2564	0.0003689020979	2.25660003			
111	281	0.0008324644851	GABRD	2563	2563	0.0003689020979	2.25660003			
110	104	0.0008324644851	GABRG1	2565	2565	0.0003689020979	2.25660003			
265	577	0.0004628723314	CHAT	1103	1103	0.0002054628534	2.25282733			
105	326	0.0008324644851	GABRG3	2567	2567	0.0003696846207	2.251823415			
104	614	0.0008324644851	GABRA4	2557	2557	0.0003701081815	2.249246374			
118	207	0.0008324644851	GABRA5	2558	2558	0.000370866032	2.244650125			
107	615	0.0008324644851	GABRA3	2556	2556	0.0003713604782	2.241661496			
178	1426	0.0005683702108	CD9	928	928	0.0002538635462	2.238880766			
102	258	0.0008324644851	GABRQ	55879	55879	0.0003719977487	2.237821299			
258	3261	0.0004628723314	ATP1A2	477	477	0.000206934802	2.236802737			
285	3367	0.000401405682	ANKK1	255239	255239	0.0001795287919	2.235884717			
112	480	0.0008324644851	GABRB2	2561	2561	0.0003728294679	2.2328291			
103	66	0.0008324644851	GABRP	2568	2568	0.0003734976723	2.228834466			
313	933	0.0003926147025	ASIC2	40	40	0.0001762592962	2.227483662			
100	376	0.0008324644851	GABRA6	2559	2559	0.000374703756	2.22166037			
278	118	0.000401405682	SOD2	6648	6648	0.0001808763532	2.219226974			
268	1356	0.000401405682	GDF2	2658	2658	0.0001820612871	2.204783281			
192	2133	0.0005059409975	UBE2N	7334	7334	0.0002296656401	2.202945975			
277	1651	0.000401405682	HDAC11	79885	79885	0.0001824709697	2.199833117			
109	660	0.0008324644851	GABRB3	2562	2562	0.0003784442449	2.199701796			
281	537	0.000401405682	HDAC10	83933	83933	0.0001832195102	2.190845733			
302	35	0.000401405682	HDAC9	9734	9734	0.0001839573309	2.182058633			
287	766	0.000401405682	HDAC5	10014	10014	0.000184017998	2.181339252			
327	1301	0.0003926147025	CREB1	1385	1385	0.0001801254957	2.179673128			
280	311	0.000401405682	HDAC8	55869	55869	0.0001843305398	2.17764068			
271	631	0.000401405682	HDAC3	8841	8841	0.0001843861325	2.176984118			
328	2165	0.0003926147025	CAMK2G	818	818	0.0001804146603	2.176179596			
73	817	0.0009334318666	PRL	5617	5617	0.0004293957743	2.173826392			
108	138	0.0008324644851	GABRA2	2555	2555	0.0003836841365	2.169660942			
279	777	0.000401405682	HDAC4	9759	9759	0.0001854198113	2.164847862			
289	629	0.000401405682	HDAC6	10013	10013	0.0001854994185	2.163918816			
50	742	0.001016025968	THPO	7066	7066	0.000471203087	2.156237928			
283	538	0.000401405682	HDAC2	3066	3066	0.0001867795755	2.149087666			
115	316	0.0008324644851	GABRG2	2566	2566	0.0003875401258	2.148073012			
114	906	0.0008324644851	GABRB1	2560	2560	0.0003875746101	2.147881888			
290	787	0.000401405682	HDAC1	3065	3065	0.0001869763519	2.146825938			
117	395	0.0008324644851	GABRA1	2554	2554	0.0003899298195	2.134908498			
310	1001	0.0003926147025	BCR	613	613	0.0001843464367	2.129765617			
311	903	0.0003926147025	CACNG2	10369	10369	0.0001844379734	2.128708613			
182	19	0.0005683702108	ADRB1	153	153	0.0002689182115	2.113543027			
322	839	0.0003926147025	GNRH1	2796	2796	0.0001878648575	2.089878372			
201	822	0.0005029908771	CYP1B1	1545	1545	0.0002443622639	2.058381966			
292	1577	0.000401405682	HDAC7	51564	51564	0.0001954382877	2.05387433			
199	828	0.0005029908771	TYMS	7298	7298	0.0002449141749	2.053743428			
145	493	0.0006027213904	IL2	3558	3558	0.0002941293086	2.049171479			
248	301	0.0004628723314	CHRM2	1129	1129	0.000229141403	2.020029228			
324	896	0.0003926147025	EPHX2	2053	2053	0.0001948532728	2.014924855			
251	622	0.0004628723314	ADRA2B	151	151	0.0002386236427	1.939758887			
263	607	0.0004628723314	ADRA2C	152	152	0.0002409966258	1.920658971			
135	148	0.0006027213904	ABCC1	4363	4363	0.0003173306317	1.899348283			
222	82	0.0004982848374	ALK	238	238	0.0002650858073	1.879711488			
152	340	0.0006027213904	PIK3CG	5294	5294	0.0003236870974	1.862049477			
33	368	0.001236385997	DRD1	1812	1812	0.0006718595948	1.840244609			
301	584	0.000401405682	TSHB	7252	7252	0.000223850173	1.793189063			
146	180	0.0006027213904	SLC6A4	6532	6532	0.0003366552403	1.790322319			
262	121	0.0004628723314	ADRA2A	150	150	0.0002609141733	1.77404058			
305	477	0.0003926147025	MPO	4353	4353	0.0002246147591	1.747947036			
231	814	0.0004982848374	BGLAP	632	632	0.000285320902	1.746401451			
326	642	0.0003926147025	MAPK14	1432	1432	0.0002366239992	1.659234498			
320	396	0.0003926147025	IL1B	3553	3553	0.0002367452276	1.658384866			
299	438	0.000401405682	COMT	1312	1312	0.0002422125824	1.657245375			
273	718	0.000401405682	XBP1	7494	7494	0.0002458474568	1.632742869			
245	158	0.0004628723314	ADRA1B	147	147	0.0002844387804	1.627317945			
293	259	0.000401405682	BCL2	596	596	0.0002512766932	1.597464838			
83	508	0.0009114906524	NR1I2	8856	8856	0.0005833512362	1.56250745			
149	128	0.0006027213904	AADAC	13	13	0.0003929457282	1.533854034			
266	844	0.0004628723314	GSTP1	2950	2950	0.0003041283498	1.521963775			
270	1086	0.000401405682	ABAT	18	18	0.0002647516784	1.516159159			
198	119	0.0005029908771	ADRB2	154	154	0.0003318747727	1.515604434			
259	571	0.0004628723314	CHRM3	1131	1131	0.0003174117535	1.458270925			
232	823	0.0004982848374	CYP2B6	1555	1555	0.0003427234493	1.453897708			
306	320	0.0003926147025	GFAP	2670	2670	0.0002729019707	1.438665692			
304	862	0.0003926147025	MYC	4609	4609	0.0002750443847	1.427459437			
229	1648	0.0004982848374	NR1I3	9970	9970	0.0003623030891	1.375325942			
303	38	0.000401405682	CACNA1D	776	776	0.0002983770288	1.345296867			
300	455	0.000401405682	CACNA1F	778	778	0.0002989720086	1.342619611			
269	308	0.000401405682	CACNA1C	775	775	0.0003056257937	1.313389414			
288	1182	0.000401405682	ATM	472	472	0.0003263326363	1.230050682			
249	705	0.0004628723314	GAA	2548	2548	0.0004061984993	1.139522505			
4	47	0.0025666436	CYP2C9	1559	1559	0.002273082456	1.12914672			
0	97	0.00356990036	CYP1A2	1544	1544	0.003216501819	1.109870462			
84	359	0.0009026996729	ABCB1	5243	5243	0.000823978	1.095538562			
291	140	0.000401405682	BRAF	673	673	0.0003667253511	1.094567585			
244	426	0.0004628723314	GFER	2671	2671	0.0004245932612	1.090154682			
220	238	0.0004982848374	CYP3A5	1577	1577	0.0004633289923	1.075444977			
95	74	0.0008980193607	GLP1R	2740	2740	0.000845223399	1.062463914			
188	242	0.0005059409975	MTOR	2475	2475	0.0004848243832	1.043555182			
2	0	0.003240426752	CYP2D6	1565	1565	0.003170510988	1.022051892			
890	1925	0.0001675743611	CMA1	1215	1215	0.0001657917548	1.010752081			
768	2335	0.0001675743611	PSCA	8000	8000	0.0001657917548	1.010752081			
887	1927	0.0001675743611	GBX1	2636	2636	0.0001657917548	1.010752081			
3146	4214	0.0001675743611	CD7	924	924	0.0001657917548	1.010752081			
3133	4235	0.0001675743611	GANC	2595	2595	0.0001657917548	1.010752081			
3163	4423	0.0001675743611	GYS1	2997	2997	0.0001657917548	1.010752081			
3165	4425	0.0001675743611	HOXA4	3201	3201	0.0001657917548	1.010752081			
487	2252	0.0001675743611	HCRT	3060	3060	0.0001657917548	1.010752081			
4340	3165	0.0001675743611	TNFRSF12A	51330	51330	0.0001657917548	1.010752081			
918	1951	0.0001675743611	GPR26	2849	2849	0.0001657917548	1.010752081			
4300	3140	0.0001675743611	COX4I1	1327	1327	0.0001657917548	1.010752081			
4206	3017	0.0001675743611	HOXA5	3202	3202	0.0001657917548	1.010752081			
4186	3030	0.0001675743611	IL21	59067	59067	0.0001657917548	1.010752081			
975	2109	0.0001675743611	IL17RA	23765	23765	0.0001657917548	1.010752081			
4284	3142	0.0001675743611	DLST	1743	1743	0.0001657917548	1.010752081			
4236	3202	0.0001675743611	FLNA	2316	2316	0.0001657917548	1.010752081			
4239	3207	0.0001675743611	HAMP	57817	57817	0.0001657917548	1.010752081			
4273	3250	0.0001675743611	PISD	23761	23761	0.0001657917548	1.010752081			
4241	3209	0.0001675743611	ROR1	4919	4919	0.0001657917548	1.010752081			
4285	3143	0.0001675743611	HOXC5	3222	3222	0.0001657917548	1.010752081			
4234	3205	0.0001675743611	MARCKS	4082	4082	0.0001657917548	1.010752081			
